[1203/121029.854:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1203/135655.415:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1203/170413.079:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1203/202337.461:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1208/195618.149:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0318/104622.400:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0324/113427.341:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir14220_29137\Crashpad: The system cannot find the file specified. (0x2)
[0324/113705.097:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir17740_22132\Crashpad: The system cannot find the file specified. (0x2)
[0324/124359.925:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir18640_9774\Crashpad: The system cannot find the file specified. (0x2)
[0324/125420.173:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir20956_22761\Crashpad: The system cannot find the file specified. (0x2)
[0324/131554.331:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir17664_11850\Crashpad: The system cannot find the file specified. (0x2)
[0324/135551.988:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir18324_10586\Crashpad: The system cannot find the file specified. (0x2)
[0324/140029.018:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir21240_1663\Crashpad: The system cannot find the file specified. (0x2)
[0324/140301.787:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir17784_17969\Crashpad: The system cannot find the file specified. (0x2)
[0324/141346.100:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir16892_16626\Crashpad: The system cannot find the file specified. (0x2)
[0324/141502.260:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir21320_20505\Crashpad: The system cannot find the file specified. (0x2)
[0324/141706.458:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir20708_31087\Crashpad: The system cannot find the file specified. (0x2)
[0324/141911.355:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir21620_10956\Crashpad: The system cannot find the file specified. (0x2)
[0324/142347.298:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir11808_19724\Crashpad: The system cannot find the file specified. (0x2)
[0324/142610.566:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir20916_6259\Crashpad: The system cannot find the file specified. (0x2)
[0324/143047.564:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir21800_9718\Crashpad: The system cannot find the file specified. (0x2)
[0324/143502.983:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir20304_23862\Crashpad: The system cannot find the file specified. (0x2)
[0324/143654.160:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir21856_12596\Crashpad: The system cannot find the file specified. (0x2)
[0324/143847.594:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir21820_12247\Crashpad: The system cannot find the file specified. (0x2)
[0324/144045.220:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir19588_6289\Crashpad: The system cannot find the file specified. (0x2)
[0324/144413.021:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir19268_11289\Crashpad: The system cannot find the file specified. (0x2)
[0324/144506.924:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir20748_10278\Crashpad: The system cannot find the file specified. (0x2)
[0324/144654.378:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir10292_28210\Crashpad: The system cannot find the file specified. (0x2)
[0324/144841.754:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir11040_30529\Crashpad: The system cannot find the file specified. (0x2)
[0324/145027.379:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir11040_29781\Crashpad: The system cannot find the file specified. (0x2)
[0324/145121.596:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir15772_24867\Crashpad: The system cannot find the file specified. (0x2)
[0324/145215.785:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir13800_28917\Crashpad: The system cannot find the file specified. (0x2)
[0324/145549.289:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir21140_12478\Crashpad: The system cannot find the file specified. (0x2)
[0324/145851.130:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir17568_22658\Crashpad: The system cannot find the file specified. (0x2)
[0324/150101.862:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir21284_18661\Crashpad: The system cannot find the file specified. (0x2)
[0324/150342.219:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir21724_318\Crashpad: The system cannot find the file specified. (0x2)
[0324/150653.285:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir22908_25134\Crashpad: The system cannot find the file specified. (0x2)
[0324/151112.200:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir17228_14159\Crashpad: The system cannot find the file specified. (0x2)
[0324/151752.284:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir17076_10558\Crashpad: The system cannot find the file specified. (0x2)
[0324/152104.849:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir22368_25282\Crashpad: The system cannot find the file specified. (0x2)
[0324/152428.766:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir2028_10397\Crashpad: The system cannot find the file specified. (0x2)
[0324/153007.968:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir19340_25886\Crashpad: The system cannot find the file specified. (0x2)
[0324/162527.861:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir16616_19360\Crashpad: The system cannot find the file specified. (0x2)
[0324/163903.102:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir19756_5885\Crashpad: The system cannot find the file specified. (0x2)
[0324/164224.193:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir22464_27631\Crashpad: The system cannot find the file specified. (0x2)
[0324/164537.709:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir22204_26201\Crashpad: The system cannot find the file specified. (0x2)
[0324/164824.229:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir8632_4189\Crashpad: The system cannot find the file specified. (0x2)
[0324/165135.250:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir23500_19507\Crashpad: The system cannot find the file specified. (0x2)
[0324/165455.414:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir21540_21135\Crashpad: The system cannot find the file specified. (0x2)
[0324/170144.027:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir23184_17541\Crashpad: The system cannot find the file specified. (0x2)
[0324/170507.852:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir20256_24391\Crashpad: The system cannot find the file specified. (0x2)
[0324/170830.947:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir22500_15247\Crashpad: The system cannot find the file specified. (0x2)
[0324/171110.333:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir16376_26866\Crashpad: The system cannot find the file specified. (0x2)
[0324/171349.284:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir23280_6496\Crashpad: The system cannot find the file specified. (0x2)
[0324/171635.524:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir20164_20148\Crashpad: The system cannot find the file specified. (0x2)
[0324/175949.187:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir21420_4339\Crashpad: The system cannot find the file specified. (0x2)
[0324/180138.837:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir16836_3808\Crashpad: The system cannot find the file specified. (0x2)
[0324/180326.872:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir10960_21\Crashpad: The system cannot find the file specified. (0x2)
[0324/180403.621:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir11492_18040\Crashpad: The system cannot find the file specified. (0x2)
[0324/193440.090:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir22612_15574\Crashpad: The system cannot find the file specified. (0x2)
[0324/193631.725:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir22576_30183\Crashpad: The system cannot find the file specified. (0x2)
[0324/193802.189:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir24844_21572\Crashpad: The system cannot find the file specified. (0x2)
[0324/194101.181:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir2928_17433\Crashpad: The system cannot find the file specified. (0x2)
[0324/194223.379:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir13660_16730\Crashpad: The system cannot find the file specified. (0x2)
[0324/194826.283:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir12272_32468\Crashpad: The system cannot find the file specified. (0x2)
